t,angle,gyro,speed,dist,LQR_u,yawout,yaw,joyx,joyy,joyy_f,height,angle_zp,dist_zp,leg_add,bat,motor1_t,motor2_t,unctrl,jump
69306,7.179966,-0.405259,0.477308,1.461117,0.225526,-0.317805,-0.05651,0,0,0,48,7.821816,1.04234,12.23035,8.15041,0.04614,-0.271666,0,0
69327,7.300226,-0.924343,0.420509,1.468787,0.240542,-0.40007,-0.177248,0,0,0,48,7.818172,1.04234,12.27609,8.15041,0.079764,-0.320306,0,0
69348,7.385298,-3.138083,0.261088,1.474923,0.04576,-0.414746,-0.271924,0,0,0,48,7.81441,1.04234,12.34547,8.15041,0.184493,-0.230253,0,0
69369,7.358494,-3.000679,0.351582,1.482592,0.047377,-0.403409,-0.327152,0,0,0,48,7.810543,1.04234,12.39518,8.15041,0.178016,-0.225393,0,0
69389,7.229851,0.052756,0.244524,1.487961,-0.036248,-0.333124,-0.33992,0,0,0,48,7.806576,1.04234,12.42557,8.15041,0.184686,-0.148438,0,0
69409,7.223437,3.961154,0.009087,1.487961,-0.02461,-0.256443,-0.317591,0,0,0,48,7.802521,1.04234,12.45003,8.15041,0.140527,-0.115917,0,0
69431,7.409864,1.564207,-0.116965,1.486427,-0.096292,-0.24782,-0.288815,0,0,0,48,7.797979,1.04234,12.49571,8.15041,0.172056,-0.075764,0,0
69451,7.452964,0.419169,-0.006427,1.486427,-0.076922,-0.296391,-0.283035,0,0,0,48,7.79379,1.04234,12.52433,8.15041,0.186657,-0.109735,0,0
69471,7.464919,-0.359457,0.061211,1.487194,-0.088263,-0.296169,-0.286476,0,0,0,48,7.789556,1.04234,12.52041,8.15041,0.192216,-0.103953,0,0
69489,7.427335,0.800848,-0.130895,1.48566,-0.227591,-0.286729,-0.291693,0,0,0,48,7.785713,1.04234,12.49931,8.15041,0.25716,-0.029569,0,0
69512,7.505054,0.25123,-0.052809,1.484126,-0.165583,-0.283019,-0.292258,0,0,0,48,7.781412,1.04234,12.50013,8.15041,0.224301,-0.058718,0,0
69534,7.543091,-2.267854,-0.007349,1.483359,-0.285937,-0.282456,-0.289863,0,0,0,48,7.776656,1.04234,12.5336,8.15041,0.284197,0.00174,0,0
69554,7.430713,-0.588465,-0.155117,1.481058,-0.461914,-0.282661,-0.289457,0,0,0,48,7.772317,1.04234,12.55182,8.15041,0.372288,0.089627,0,0
69574,7.358299,2.281764,-0.174683,1.477224,-0.445629,-0.293126,-0.28954,0,0,0,48,7.76797,1.04234,12.5433,8.15041,0.369377,0.076252,0,0
69594,7.451345,2.602375,-0.346188,1.470321,-0.505986,-0.284109,-0.289684,0,0,0,48,7.763625,1.04234,12.53274,8.15041,0.395047,0.110938,0,0
69614,7.551352,1.487871,-0.349463,1.463418,-0.52586,-0.227612,-0.274713,0,0,0,48,7.759294,1.04234,12.53924,8.15041,0.376736,0.149124,0,0
69635,7.591776,1.228329,-0.448737,1.455748,-0.616491,-0.140548,-0.235893,0,0,0,48,7.754986,1.04234,12.55226,8.15041,0.37852,0.237972,0,0
69655,7.576147,2.434436,-0.471769,1.448078,-0.609636,-0.046126,-0.178724,0,0,0,48,7.75071,1.04234,12.54535,8.15041,0.327881,0.281755,0,0
69677,7.565442,7.136726,-0.634287,1.435806,-0.476395,0.095993,-0.089734,0,0,0,48,7.746054,1.04234,12.5112,8.15041,0.190201,0.286194,0,0
